Name,"Keyword Preview",Location,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"LIVE-email-iron-ntfs-ascii.txt","d sea? 
ascii ====> «iron.man@marvel.com« 0960 <==== ntfs riv","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-email-iron-ntfs-ascii.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST",1251,Allocated,Allocated,unknown,,,text/plain,txt
"DELETED-email-berlin-fat-ascii.txt","uecrab 
ascii ====> «berlin@deutchland.net« 1281 <==== fat isla","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-email-berlin-fat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:26 CEST",1216,Unallocated,Unallocated,unknown,,,text/plain,txt
"DELETED-email-iron-ntfs-utf-16-be.txt","bom utf 16 be ====> «iron.man@marvel.com« 0967 <==== ntfs kin","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/DELETED-email-iron-ntfs-utf-16-be.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:04 CEST","2018-07-25 20:03:04 CEST","2018-07-25 20:03:04 CEST",2470,Unallocated,Unallocated,unknown,,,text/plain,txt
"LIVE-email-iron-ntfs-utf-16-be.txt","bom utf 16 be ====> «iron.man@marvel.com« 0963 <==== ntfs oce","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-email-iron-ntfs-utf-16-be.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST",2534,Allocated,Allocated,unknown,,,text/plain,txt
"DELETED-email-capitol-fat-ascii.txt","uegill 
ascii ====> «potus@capitol.gov« 1249 <==== fat bay","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-email-capitol-fat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:26 CEST",1241,Unallocated,Unallocated,unknown,,,text/plain,txt
"DELETED-email-iron-ntfs-utf-16-le.txt","bom utf 16 le ====> «iron.man@marvel.com« 0966 <==== ntfs cre","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/DELETED-email-iron-ntfs-utf-16-le.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:04 CEST","2018-07-25 20:03:04 CEST","2018-07-25 20:03:04 CEST",2502,Unallocated,Unallocated,unknown,,,text/plain,txt
"LIVE-email-berlin-exfat-ascii.txt","island

ascii ====> «berlin@deutchland.net« 1282 <==== exfat sq","/img_ss-win-07-25-18.dd/vol_vol6/exfat/LIVE-email-berlin-exfat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 14:03:36 CEST","2018-07-25 14:03:36 CEST",1206,Allocated,Allocated,unknown,,,text/plain,txt
"LIVE-email-iron-ntfs-utf-16-le.txt","bom utf 16 le ====> «iron.man@marvel.com« 0962 <==== ntfs bro","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-email-iron-ntfs-utf-16-le.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST",2398,Allocated,Allocated,unknown,,,text/plain,txt
"DELETED-email-iron-fat-ascii.txt","harbor 
ascii ====> «iron.man@marvel.com« 0948 <==== fat broo","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-email-iron-fat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:27 CEST",1206,Unallocated,Unallocated,unknown,,,text/plain,txt
"LIVE-email-capitol-exfat-ascii.txt","creek 
ascii ====> «potus@capitol.gov« 1250 <==== exfat tu","/img_ss-win-07-25-18.dd/vol_vol6/exfat/LIVE-email-capitol-exfat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 14:03:36 CEST","2018-07-25 14:03:36 CEST",1238,Allocated,Allocated,unknown,,,text/plain,txt
